1221-231.09,Stord kommune. Stord ungdomsskule,Hb,W10-26-2-4,W10-26-2-4
1221-231.09,Stord kommune. Stord ungdomsskule,Hc,W10-26-2-4,W10-26-2-6
1221-231.09,Stord kommune. Stord ungdomsskule,Hd,W10-26-2-6,W10-26-2-7
1221-241,Stord kommune. Fitjar og Stord PPT,Fa,W10-24-2-8,W10-24-3-3
1221-241,Stord kommune. Fitjar og Stord PPT,Fba,W10-24-3-3,W10-24-3-5
1221-241,Stord kommune. Fitjar og Stord PPT,Fbb,W10-24-3-5,W10-24-3-5
1221-241,Stord kommune. Fitjar og Stord PPT,Fc,W10-24-3-5,W10-25-1-4
1221-241,Stord kommune. Fitjar og Stord PPT,Fd,W10-25-1-4,W10-25-1-7
1221-241,Stord kommune. Fitjar og Stord PPT,Fe,Q7-90-1-3,Q7-90-1-3
1221-315.1,Stord kommune. Barnevernet,Fa,W10-25-2-7,W10-25-2-7
1221-315.1,Stord kommune. Barnevernet,Fb,W10-25-2-8,W10-25-3-2
1221-315.1,Stord kommune. Barnevernet,Fc,W10-25-3-2,W10-25-3-4
1222-201,Fitjar kommune. Skulekontoret,Ha,Q8-32-2-8,Q8-32-2-8
1222-201,Fitjar kommune. Skulekontoret,Hb,Q8-32-2-8,Q8-32-2-8
1222-201,Fitjar kommune. Skulekontoret,Hc,Q8-32-2-8,Q8-32-2-8
1222-231.02,Fitjar kommune. Rimbareid barne- og ungdomsskule,Ha,Q8-32-2-8,Q8-32-3-1
1222-231.02,Fitjar kommune. Rimbareid barne- og ungdomsskule,Hb,Q8-32-3-1,Q8-32-3-1
1222-315.1,Fitjar kommune. Barnevernet,Fa,Q8-32-3-3,Q8-32-3-3
1222-315.2,Fitjar kommune. Barnevernet,Fb,Q8-32-3-3,Q8-32-3-3
1223-201,Tysnes kommune. Skulekontoret,Ha,Q8-31-1-2,Q8-31-1-1-2
1223-201,Tysnes kommune. Skulekontoret,Hb,Q8-31-1-2,Q8-31-1-1-2
1223-201,Tysnes kommune. Skulekontoret,Hc,Q8-31-1-2,Q8-31-1-1-2
1223-201,Tysnes kommune. Skulekontoret,Hd,Q8-31-1-2,Q8-31-1-1-3
1223-201,Tysnes kommune. Skulekontoret,He,IKKJE FUNNET,
1223-231.01,Tysnes kommune. Tysnes skule,Ha,Q8-31-1-3,Q8-31-1-3
1223-231.01,Tysnes kommune. Tysnes skule,Hb,Q8-31-1-3,Q8-31-1-3
1223-315.2,Tysnes kommune. Barnevernet,Fa,Q8-31-1-8,Q8-31-1-8
1223-315.2,Tysnes kommune. Barnevernet,Fb,Q8-31-1-8,Q8-31-2-1
1223-315.2,Tysnes kommune. Barnevernet,Fc,Q8-31-2-1,Q8-31-2-1
1224-201,Kvinnherad kommune. Skulekontoret,Ha,IKKJE FUNNET,
1224-201,Kvinnherad kommune. Skulekontoret,Hb,IKKJE FUNNET,
1224-201,Kvinnherad kommune. Skulekontoret,Hc,IKKJE FUNNET,
1224-201,Kvinnherad kommune. Skulekontoret,Hd,IKKJE FUNNET,
1224-231.03,Kvinnherad kommune. Hatlestrand skule,Ha,IKKJE FUNNET,
1224-231.03,Kvinnherad kommune. Hatlestrand skule,Hb,IKKJE FUNNET,
1224-231.03,Kvinnherad kommune. Hatlestrand skule,Hc,IKKJE FUNNET,
1224-231.04,Kvinnherad kommune. Hauge skole,Ha,IKKJE FUNNET,
1224-231.05,Kvinnherad kommune. Husnes skule,Ha,IKKJE FUNNET,
1224-231.05,Kvinnherad kommune. Husnes skule,Hb,IKKJE FUNNET,
1224-231.05,Kvinnherad kommune. Husnes skule,Hc,IKKJE FUNNET,
1224-231.05,Kvinnherad kommune. Husnes skule,Hd,IKKJE FUNNET,
1224-231.07,Kvinnherad kommune. Malmanger skule,Ha,IKKJE FUNNET,
1224-231.08,Kvinnherad kommune. Mauranger ungdomskule,Ha,IKKJE FUNNET,
1224-231.09,Kvinnherad kommune. Omvikdalen skule,Ha,Q8-2-5-1,Q8-2-5-1
1224-231.10,Kvinnherad kommune. Rosendal ungdomskule,Ha,IKKJE FUNNET,
1224-231.10,Kvinnherad kommune. Rosendal ungdomskule,Hb,IKKJE FUNNET,
1224-231.14,Kvinnherad kommune. Trå skule,Ha,IKKJE FUNNET,
1224-231.14,Kvinnherad kommune. Trå skule,Hb,IKKJE FUNNET,
1224-231.15,Kvinnherad kommune. Undarheim skule,Ha,IKKJE FUNNET,
1224-231.16,Kvinnherad kommune. Uskedalen skule,Ha,Q8-2-6-3,Q8-2-6-3
1224-231.19,Kvinnherad kommune. Øyatun skule,Ha,IKKJE FUNNET,
1224-231.19,Kvinnherad kommune. Øyatun skule,Hb,IKKJE FUNNET,
1224-231.19,Kvinnherad kommune. Øyatun skule,Hc,Q8-2-6-2,Q8-2-6-3
1224-231.19,Kvinnherad kommune. Øyatun skule,Hd,IKKJE FUNNET,
1224-231.25,Kvinnherad kommune. Øyatun ungdomsskule,Ha,IKKJE FUNNET,
1224-231.26,Kvinnherad kommune. Åkra oppvekstsenter,Ha,Q8-2-6-4,Q8-2-6-4
1224-231.27,Kvinnherad kommune. Åkra skule,Ha,IKKJE FUNNET,
1224-231.27,Kvinnherad kommune. Åkra skule,Hb,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT) (AKS.15-2010),Fa,Q8-4-3-3,Q8-4-3-4
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT) (AKS.26-1998),Fa,Q8-5-1-5,Q8-5-1-6
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fb,Q8-4-3-4,Q8-4-3-5
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fca,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fcb,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fd,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fe,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Ff,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fg,IKKJE FUNNET,
1224-241,Kvinnherad kommune. Pedagogisk-psykologisk teneste (PPT),Fh,IKKJE FUNNET,
1224-242,Kvinnherad kommune. Hatlestrand barnehage,Fa,Q8-4-3-5,Q8-4-3-5
1224-315,Kvinnherad kommune. Barnevernet,Fa,Q8-3-2-1,Q8-3-2-2
1224-315,Kvinnherad kommune. Barnevernet,Fb,Q8-3-2-2,Q8-3-2-3
1224-315.01,Kvinnherad kommune. Barnevernet,Fa,IKKJE FUNNET,
1224-315.01,Kvinnherad kommune. Barnevernet,Fb,IKKJE FUNNET,
1224-315.01,Kvinnherad kommune. Barnevernet,Fc,IKKJE FUNNET,
1224-315.01,Kvinnherad kommune. Barnevernet,Fd,IKKJE FUNNET,
1224-315.01,Kvinnherad kommune. Barnevernet,Fe,IKKJE FUNNET,
1227-201,Jondal kommune. Skulekontoret,Ha,Odda-15-1-1,
1227-201,Jondal kommune. Skulekontoret,Hb,Odda-15-1-1,
1227-201,Jondal kommune. Skulekontoret,Hc,Odda-15-1-1,
1227-201,Jondal kommune. Skulekontoret,Ka,Odda-15-1-1,
1227-231.1,Jondal kommune. Jondal skule ,Ea,Odda-15-2-9,
1227-231.1,Jondal kommune. Jondal skule,Gb,Odda-15-1-2,
1227-231.1,Jondal kommune. Jondal skule,Gc,Odda-15-1-2,
1227-231.1,Jondal kommune. Jondal skule ,Gd,Odda-15-2-9,
1227-231.1,Jondal kommune. Jondal skule ,Ge,Odda-15-2-9,
1227-231.1,Jondal kommune. Jondal skule,Ha,Odda-15-1-1,Odda-15-1-2
1227-231.1,Jondal kommune. Jondal skule,Hb,Odda-15-2-7,Odda-15-2-9
1227-231.1,Jondal kommune. Jondal skule,Hc,Odda-ukjent,Odda-ukjent
1227-242.01,Jondal kommune. Jondal barnehage,Fa,Odda-15-1-2,Odda-15-1-3
1227-242.01,Jondal kommune. Jondal barnehage,Fb,Odda-15-3-7,
1227-301,Jondal kommune. Sosialkontoret,Fa,Odda-15-1-3,
1227-301,Jondal kommune. Sosialkontoret,Fb,Odda-15-1-3,
1227-301,Jondal kommune. Sosialkontoret,Fc,Odda-15-1-3,
1227-301,Jondal kommune. Sosialkontoret,Fd,Odda-15-3-8,
1227-415,Jondal kommune. Legekontoret,Fba,Odda-15-1-4,Odda-15-1-5
1227-415,Jondal kommune. Legekontoret,Fbb,Odda-15-1-6,
1227-415,Jondal kommune. Legekontoret,Fca,Odda-15-1-6,Odda-15-1-8
1227-415,Jondal kommune. Legekontoret,Fcb,Odda-15-1-8,Odda-15-1-9
1227-415,Jondal kommune. Legekontoret,Faa,Odda-15-1-4,
1227-416,Jondal kommune. Pleie og omsorg,Fa,Odda-15-1-9,
1227-417,Jondal kommune. Helsestasjonen,Fa,Odda-15-1-9,
1227-417,Jondal kommune. Helsestasjonen,Fb,Odda-15-1-9,
1227-417,Jondal kommune. Helsestasjonen,Fc,Odda-15-1-9,Odda-15-2-1
1227-417,Jondal kommune. Helsestasjonen,Fda,Odda-15-2-5,Odda-15-2-6
1227-417,Jondal kommune. Helsestasjonen,Fdb,Odda-15-2-6,
1227-417,Jondal kommune. Helsestasjonen,Fdc,Odda-15-2-6,
1227-417,Jondal kommune. Helsestasjonen,Fe,Odda-15-2-7,
1227-417,Jondal kommune. Helsestasjonen,Ga,Odda-15-2-7,
1227-417,Jondal kommune. Helsestasjonen,Gb,Odda-15-2-7,
1227-417,Jondal kommune. Helsestasjonen,Gc,Odda-15-2-7,
1227-417,Jondal kommune. Helsestasjonen,Aa,Odda-15-2-7,
1227-442,Jondal kommune. Jondal alders. og sjukeheim,Fa,Odda-15-2-1,
1227-442,Jondal kommune. Jondal alders. og sjukeheim,Fb,Odda-15-3-1,Odda-15-3-2
1227-442,Jondal kommune. Jondal alders. og sjukeheim,Fc,Odda-15-3-2,Odda-15-3-5
1227-442,Jondal kommune. Jondal alders. og sjukeheim,Ga,Odda-15-2-2,
1227-812,Jondal kommune. Overformynderiet,Ba,Odda-15-2-3,
1227-812,Jondal kommune. Overformynderiet,Db,Odda-15-2-3,
1227-812,Jondal kommune. Overformynderiet,Fb,Odda-15-2-3,
1227-812,Jondal kommune. Overformynderiet,Gb,Odda-15-2-3,
1227-812,Jondal kommune. Overformynderiet,Ka,Odda-15-2-3,
1227-812,Jondal kommune. Overformynderiet,Ra,Odda-15-2-3,Odda-15-2-4
1227-812,Jondal kommune. Overformynderiet,Rb,Odda-15-2-4,
1227-812,Jondal kommune. Overformynderiet,Rc,Odda-15-2-4,
1228-201,Odda kommune. Skulekontoret,Ea,Odda-2-2-4,
